;File;Min;Median;Mean;Max;MedianRank;MeanRank;AvRank
38;GBM_3000Tree_39Vars_Phone_Median;1,337;1,506;1,538;1,756;1;1;1
36;GBM_3000Tree_31Vars_Phone_Median;1,384;1,484;1,529;1,779;3;2;2,5
37;GBM_3000Tree_36Vars_Phone_Median;1,38;1,491;1,528;1,783;2;3;2,5
35;GBM_3000Tree_27Vars_Phone_Median;1,344;1,474;1,503;1,752;4;4;4
26;3000Tree_31Vars_Phone_Median;1,35;1,461;1,495;1,751;5;5;5
25;3000Tree_31Vars_Phone_Mean;1,363;1,46;1,493;1,763;6;6;6
27;3000Tree_31Vars_Phone_Median_NoSeed;1,341;1,456;1,492;1,773;7;8;7,5
24;3000Tree_31Vars_Phone;1,355;1,447;1,491;1,805;8;9;8,5
21;3000Tree_30Vars_Phone;1,327;1,443;1,492;1,857;11;7;9
23;3000Tree_30Vars_Phone_Median;1,357;1,446;1,488;1,786;9;12;10,5
17;3000Tree_27Vars_Phone;1,308;1,445;1,481;1,809;10;17;13,5
33;3000Tree_39Vars_Phone_Median;1,374;1,434;1,49;1,754;17;10;13,5
20;3000Tree_30Vars;1,335;1,44;1,484;1,805;13;15;14
30;3000Tree_36Vars_Phone_Median;1,328;1,438;1,485;1,744;14;14;14
19;3000Tree_27Vars_Phone_Median;1,323;1,442;1,481;1,758;12;19;15,5
32;3000Tree_39Vars_Phone_Mean;1,372;1,432;1,488;1,724;18;13;15,5
22;3000Tree_30Vars_Phone_Mean;1,342;1,435;1,482;1,733;16;16;16
18;3000Tree_27Vars_Phone_Mean;1,35;1,437;1,481;1,731;15;18;16,5
31;3000Tree_39Vars_Phone;1,333;1,427;1,48;1,819;19;21;20
4;2000Tree_30Vars;1,33;1,419;1,488;1,848;30;11;20,5
28;3000Tree_36Vars_Phone;1,333;1,426;1,478;1,785;21;22;21,5
12;3000Tree_25Vars;1,313;1,426;1,465;1,76;20;26;23
16;3000Tree_27Vars;1,312;1,425;1,471;1,794;23;24;23,5
29;3000Tree_36Vars_Phone_Mean;1,336;1,422;1,48;1,717;28;20;24
2;2000Tree_25Vars;1,283;1,423;1,465;1,73;24;25;24,5
13;3000Tree_25Vars_Phone;1,325;1,423;1,463;1,726;25;27;26
34;GBM_1000Tree_13Vars_Phone_Median;1,28;1,425;1,46;1,703;22;30;26
3;2000Tree_27Vars;1,329;1,418;1,474;1,776;31;23;27
14;3000Tree_25Vars_Phone_Mean;1,301;1,422;1,461;1,716;27;29;28
9;3000Tree_15Vars_Phone;1,296;1,422;1,452;1,771;26;31;28,5
11;3000Tree_15Vars_Phone_Median;1,299;1,42;1,447;1,691;29;32;30,5
15;3000Tree_25Vars_Phone_Median;1,322;1,415;1,463;1,693;33;28;30,5
10;3000Tree_15Vars_Phone_Mean;1,283;1,418;1,445;1,707;32;33;32,5
1;2000Tree_13Vars;1,265;1,412;1,441;1,734;34;34;34
6;3000Tree_13Vars_Phone;1,251;1,401;1,43;1,709;35;36;35,5
5;3000Tree_13Vars;1,264;1,392;1,436;1,755;37;35;36
8;3000Tree_13Vars_Phone_Median;1,262;1,4;1,423;1,663;36;38;37
7;3000Tree_13Vars_Phone_Mean;1,265;1,391;1,424;1,7;38;37;37,5
